Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
92766-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.450999450683593,20,18000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-38435,QB,Jared,Jared Goff,Goff,17.107059254365808,17,15500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-33076,TE,Travis,Travis Kelce,Kelce,16.225,20,15000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.412500381469727,16,13500,DET@KC,DET,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
92766-73273,RB,David,David Montgomery,Montgomery,10.043749809265137,16,13000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-92575,RB,Isiah,Isiah Pacheco,Pacheco,8.18499984741211,20,11500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,,,11000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,5.938888973659939,18,10500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,6.455000305175782,20,10000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-86052,WR,Kadarius,Kadarius Toney,Toney,5.433333079020183,12,9500,DET@KC,KC,DET,Q,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
92766-41642,K,Harrison,Harrison Butker,Butker,8.5,16,9500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-54608,RB,Jerick,Jerick McKinnon,McKinnon,9,20,9000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7.2,20,9000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-90949,K,Riley,Riley Patterson,Patterson,8.157894736842104,19,8500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-112062,WR,Skyy,Skyy Moore,Moore,2.2789473282663444,19,8000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-53097,WR,Josh,Josh Reynolds,Reynolds,7.075000127156575,12,8000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,8.980000305175782,10,7500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-12532,D,Detroit,Detroit Lions,Lions,5.823529411764706,17,7500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-70422,WR,Kalif,Kalif Raymond,Raymond,5.452940996955423,17,7000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-111311,WR,Rashee,Rashee Rice,Rice,,,7000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-105646,TE,Sam,Sam LaPorta,LaPorta,,,6500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-53498,WR,Richie,Richie James Jr.,James Jr.,6.923529232249541,17,6500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-83083,WR,Justin,Justin Watson,Watson,2.9210526315789473,19,6000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-111631,WR,Jameson,Jameson Williams,Williams,2.433333396911621,6,6000,DET@KC,DET,KC,IR,Suspension,,,,MVP - 1.5X Points/AnyFLEX
92766-55165,RB,Justin,Justin Jackson,Jackson,3.221428462437221,14,6000,DET@KC,DET,KC,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-72453,WR,Denzel,Denzel Mims,Mims,2.677777820163303,9,5500,DET@KC,DET,KC,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
92766-70023,WR,Cornell,Cornell Powell,Powell,,,5500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-91046,TE,Brock,Brock Wright,Wright,4.1999998826247,13,5500,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-93143,TE,Noah,Noah Gray,Gray,3.0600000381469727,20,5500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-89964,WR,Justyn,Justyn Ross,Ross,,,5500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-94831,RB,Deneric,Deneric Prince,Prince,,,5500,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-73088,WR,Kekoa,Kekoa Crawford,Crawford,,,5000,DET@KC,KC,DET,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-185728,TE,Patrick,Patrick Murtagh,Murtagh,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-103943,WR,Trinity,Trinity Benson,Benson,2.1857143129621233,7,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-91912,WR,Chase,Chase Cota,Cota,,,5000,DET@KC,DET,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-27403,TE,Blake,Blake Bell,Bell,3.2999998728434243,3,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-155790,TE,Izaiah,Izaiah Gathings,Gathings,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.20000000298023224,2,5000,DET@KC,DET,KC,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
92766-90778,TE,Derrick,Derrick Deese Jr.,Deese Jr.,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-90398,TE,Matt,Matt Bushman,Bushman,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-52902,WR,Trey,Trey Quinn,Quinn,,,5000,DET@KC,DET,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-73398,QB,Chris,Chris Oladokun,Oladokun,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-104388,WR,Tom,Tom Kennedy,Kennedy,3.0166667302449546,6,5000,DET@KC,DET,KC,Q,Arm,,,,MVP - 1.5X Points/AnyFLEX
92766-91207,WR,Keytaon,Keytaon Thompson,Thompson,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-71367,RB,La'Mical,La'Mical Perine,Perine,1.5499999523162842,2,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-88776,WR,Ty,Ty Fryfogle,Fryfogle,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-149832,TE,Shane,Shane Zylstra,Zylstra,4.4375,8,5000,DET@KC,DET,KC,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
92766-91082,WR,Avery,Avery Davis,Davis,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-55895,TE,Kendall,Kendall Blanton,Blanton,2.25,2,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-91481,WR,Nikko,Nikko Remigio,Remigio,,,5000,DET@KC,KC,DET,IR,Wrist,,,,MVP - 1.5X Points/AnyFLEX
92766-112088,RB,Jerrion,Jerrion Ealy,Ealy,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-90456,WR,Ty,Ty Scott,Scott,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-93531,WR,Antoine,Antoine Green,Green,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-86747,WR,Dylan,Dylan Drummond,Drummond,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-65627,WR,Maurice,Maurice Alexander,Alexander,0.40000001589457196,3,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-42077,TE,James,James Winchester,Winchester,,,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-93023,RB,Jermar,Jermar Jefferson,Jefferson,5.925000190734863,4,5000,DET@KC,DET,KC,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-85983,QB,Hendon,Hendon Hooker,Hooker,,,5000,DET@KC,DET,KC,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
92766-56289,RB,Jason,Jason Cabinda,Cabinda,0.3499999940395355,4,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-85986,TE,James,James Mitchell,Mitchell,2.8499999046325684,8,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-90981,QB,Adrian,Adrian Martinez,Martinez,,,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-104424,RB,Craig,Craig Reynolds,Reynolds,4.383333206176758,6,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-52463,TE,Daniel,Daniel Helm,Helm,0.20000000298023224,2,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-14194,QB,Blaine,Blaine Gabbert,Gabbert,5.159999847412109,1,5000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
92766-85881,RB,Mohamed,Mohamed Ibrahim,Ibrahim,,,5000,DET@KC,DET,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
92766-41469,TE,Darrell,Darrell Daniels,Daniels,0.34000000953674314,5,5000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
92766-104447,TE,Jody,Jody Fortson,Fortson,2.529999923706055,10,5000,DET@KC,KC,DET,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX